x,y,Mean,Std,,,
76.5,35.5,219.4642544,87.95013389,,,
77.5,35.5,160.8888158,68.14648225,,,
78.5,35.5,127.1067982,56.37505208,,,
79.5,35.5,103.7627193,50.19578044,,,
80.5,35.5,95.56710526,44.82187871,,,
72.5,36.5,490.0085526,111.7991995,,,
73.5,36.5,378.9576754,103.4768354,,,
74.5,36.5,275.0565789,86.2230358,,,
75.5,36.5,217.0989035,76.76030107,,,
78.5,36.5,80.84517544,39.86349105,,,
79.5,36.5,62.74013158,28.90823206,,,
